id,company,title,location,url,source,posted_date,first_seen,category
363,Stripe,Payments Fraud Investigator,US-Remote,https://stripe.com/jobs/search?gh_jid=7913406,greenhouse,2026-09-10,2026-09-19T13:31:03.795115,remote
346,Stripe,"Partner Development Manager, Alliances and Channels",US-Remote,https://stripe.com/jobs/search?gh_jid=8165267,greenhouse,2026-09-10,2026-09-19T13:31:03.595356,remote
299,Stripe,"Manager, Administrative Coordinator Program",US-remote,https://stripe.com/jobs/search?gh_jid=8069155,greenhouse,2026-09-10,2026-09-19T13:31:03.093998,remote
279,Stripe,"Integration Engineer, Metronome",Remote,https://stripe.com/jobs/search?gh_jid=8080454,greenhouse,2026-09-16,2026-09-19T13:31:02.913991,remote
278,Stripe,"Integrated Campaigns Manager - Stablecoins, Crypto, and Bridge","US, Remote",https://stripe.com/jobs/search?gh_jid=8067276,greenhouse,2026-09-10,2026-09-19T13:31:02.902986,remote
227,Stripe,Fraud Patterns Analyst,US-Remote,https://stripe.com/jobs/search?gh_jid=7913410,greenhouse,2026-09-10,2026-09-19T13:31:02.384774,remote
223,Stripe,Fraud Operations Manager,US-Remote,https://stripe.com/jobs/search?gh_jid=8175832,greenhouse,2026-09-10,2026-09-19T13:31:02.352909,remote
171,Stripe,"Designer, Web Presence & Platform",US-Remote,https://stripe.com/jobs/search?gh_jid=8130913,greenhouse,2026-09-15,2026-09-19T13:31:01.802253,remote
168,Stripe,Deal Strategist,US-Remote,https://stripe.com/jobs/search?gh_jid=7958150,greenhouse,2026-09-10,2026-09-19T13:31:01.772976,remote
142,Stripe,Crypto Controls and Compliance Advisor,Remote US,https://stripe.com/jobs/search?gh_jid=8188326,greenhouse,2026-09-18,2026-09-19T13:31:01.517355,remote
121,Stripe,"Communities Partner Development Manager, SaaS Platforms",US-Remote,https://stripe.com/jobs/search?gh_jid=8138000,greenhouse,2026-09-10,2026-09-19T13:31:01.247940,remote
120,Stripe,"Communities Partner Development Manager, SaaS Platforms",US-Remote,https://stripe.com/jobs/search?gh_jid=8103952,greenhouse,2026-09-10,2026-09-19T13:31:01.232935,remote
91,Stripe,ARG Engineering Manager,US - Remote,https://stripe.com/jobs/search?gh_jid=8113337,greenhouse,2026-09-10,2026-09-19T13:31:00.651045,remote
85,Stripe,AEO and GEO Marketing Manager,Remote in the US,https://stripe.com/jobs/search?gh_jid=7844214,greenhouse,2026-09-10,2026-09-19T13:31:00.602772,remote
64,Stripe,"Account Executive, Product Sales - Tax",US-Remote,https://stripe.com/jobs/search?gh_jid=8190048,greenhouse,2026-09-14,2026-09-19T13:31:00.384633,remote
